seed,particle,death_step,x,y,death_type
0,41,52,70.42312518683417,79.4896340662257,wall_failure
0,32,118,126.96577005793525,81.35111286460119,wall_failure
0,50,118,127.9949599340969,82.5206515140197,wall_failure
0,62,118,128.95395553261372,83.53001925945476,wall_failure
0,0,141,143.15949211286915,100.55108964527057,wall_failure
0,15,195,186.21160002613735,100.43418206498491,wall_failure
0,47,203,192.0915799320375,92.67877494207336,wall_failure
0,8,234,182.09584552071493,104.56278754139183,wall_failure
0,1,240,103.84022885999234,76.65229243677781,progress_failure
0,38,240,93.784270076941,68.63283356136276,progress_failure
0,45,240,111.14305378058864,72.92252649873835,progress_failure
0,25,279,246.23203692617864,79.54318587118388,wall_failure
0,5,283,242.87431791704623,76.50293306309267,wall_failure
0,33,283,247.3969126938247,81.49276169465026,wall_failure
0,59,324,262.36476573798217,99.34442883586955,wall_failure
0,22,325,267.09474127784256,105.18843955716535,wall_failure
1,28,114,122.42810916687105,75.26929586944695,wall_failure
1,49,115,125.04150991061707,78.63009437109118,wall_failure
1,29,116,127.38828023322336,81.00490866969807,wall_failure
1,50,116,125.96005643620106,79.55266589864408,wall_failure
1,54,116,125.87412685429642,79.66343878953721,wall_failure
1,15,117,127.10457545491856,81.43251854404186,wall_failure
1,43,117,123.03249218697921,76.68334521079015,wall_failure
1,37,118,127.32164301547539,81.3229072185569,wall_failure
1,66,118,127.34943843154261,81.38756499997966,wall_failure
1,6,119,127.28845196677914,81.3151215364654,wall_failure
1,27,119,128.0053612156731,82.51505122126756,wall_failure
1,55,133,137.08909473606133,93.46974752458267,wall_failure
1,38,136,138.81361384796844,95.53939128431435,wall_failure
1,19,138,140.91580390900535,97.61678968595737,wall_failure
1,16,194,187.41645252266363,98.72035538136032,wall_failure
1,63,202,187.03777848016168,98.90586022068231,wall_failure
1,60,220,203.1730641246486,79.36261023441233,wall_failure
1,36,240,122.07979236911677,98.82174776594331,progress_failure
1,9,274,239.4253003561136,71.52115137551802,wall_failure
1,14,289,250.24421086117414,84.53984447018799,wall_failure
1,64,331,267.46715970933917,105.11516617307542,wall_failure
