seed,corridor_radius,deflection,success_rate,death_rate,temporal_jitter,mean_arrival,first_death_step
0,17,0.1,0.7571428571428571,0.24285714285714285,0.03717795320744688,374.9056603773585,113.0
1,17,0.1,0.6571428571428571,0.34285714285714286,0.01659136001751964,376.0652173913044,110.0
2,17,0.1,0.7285714285714285,0.2714285714285714,0.0287298229461412,373.921568627451,120.0
3,17,0.1,0.7142857142857143,0.2857142857142857,0.024632209392549318,374.06,109.0
4,17,0.1,0.7,0.3,0.02432756222089388,372.8979591836735,46.0
5,17,0.1,0.7285714285714285,0.2714285714285714,0.027356891274491712,376.7843137254902,110.0
6,17,0.1,0.5142857142857142,0.4857142857142857,0.052962273339985905,388.47222222222223,119.0
7,17,0.1,0.7428571428571429,0.2571428571428571,0.02128022599559824,370.34615384615387,45.0
8,17,0.1,0.7857142857142857,0.21428571428571427,0.025955173210458673,369.76363636363635,119.0
9,17,0.1,0.6428571428571429,0.35714285714285715,0.02834882621927752,381.1777777777778,108.0
10,17,0.1,0.6714285714285714,0.32857142857142857,0.032443805271679935,379.3191489361702,47.0
11,17,0.1,0.7142857142857143,0.2857142857142857,0.021824158026306367,374.36,121.0
12,17,0.1,0.7285714285714285,0.2714285714285714,0.017949703043742844,375.078431372549,109.0
13,17,0.1,0.6857142857142857,0.3142857142857143,0.02329384392340689,372.3333333333333,47.0
14,17,0.1,0.6142857142857143,0.38571428571428573,0.02611179047152078,375.95348837209303,121.0
15,17,0.1,0.7,0.3,0.020521315375655498,372.40816326530614,120.0
16,17,0.1,0.5857142857142857,0.4142857142857143,0.023111051628834787,369.9268292682927,118.0
17,17,0.1,0.6571428571428571,0.34285714285714286,0.024856416821136727,377.0652173913044,119.0
18,17,0.1,0.7142857142857143,0.2857142857142857,0.023209422324655695,370.46,45.0
19,17,0.1,0.6285714285714286,0.37142857142857144,0.022391812197468264,380.0681818181818,119.0
0,17,0.2,0.7142857142857143,0.2857142857142857,0.020814937222268914,375.72,113.0
1,17,0.2,0.7571428571428571,0.24285714285714285,0.02287853017376695,370.45283018867923,110.0
2,17,0.2,0.8142857142857143,0.18571428571428572,0.030486146661304146,380.50877192982455,120.0
