corridor_radius,deflection,success_mean,death_mean,jitter_mean,first_death_mean
9,0.1,0.4607142857142857,0.5392857142857143,0.03732487220768864,74.9
9,0.2,0.6242857142857143,0.3757142857142857,0.05558472135405842,74.9
9,0.3,0.7107142857142856,0.28928571428571426,0.06619682587464659,74.9
9,0.4,0.6864285714285715,0.31357142857142856,0.10324000099041405,74.9
9,0.5,0.6964285714285714,0.30357142857142855,0.11637656725147875,74.9
11,0.1,0.4521428571428571,0.5478571428571428,0.02687478925979756,80.9
11,0.2,0.6371428571428572,0.3628571428571429,0.043459369710236624,80.9
11,0.3,0.7107142857142856,0.28928571428571426,0.05936544142459523,80.9
11,0.4,0.7092857142857143,0.2907142857142857,0.0824605882605977,80.9
11,0.5,0.7457142857142858,0.2542857142857143,0.10047538420528952,80.9
13,0.1,0.48428571428571426,0.5157142857142858,0.0271200124065595,87.2
13,0.2,0.6607142857142857,0.3392857142857143,0.04535335065724631,87.2
13,0.3,0.7307142857142856,0.26928571428571424,0.05894691695938947,87.2
13,0.4,0.7721428571428571,0.22785714285714284,0.08091558889466648,87.2
13,0.5,0.7635714285714286,0.23642857142857143,0.09613928699761543,87.2
15,0.1,0.5392857142857143,0.4607142857142857,0.029062926375777915,88.9
15,0.2,0.7028571428571428,0.29714285714285715,0.040425475077342815,88.9
15,0.3,0.7492857142857143,0.2507142857142857,0.054723728553548234,88.9
15,0.4,0.7671428571428571,0.23285714285714282,0.06800624282181818,88.9
15,0.5,0.7864285714285714,0.21357142857142858,0.08260901542037273,88.9
17,0.1,0.6835714285714285,0.3164285714285714,0.02615378084543854,98.25
17,0.2,0.7657142857142858,0.23428571428571426,0.03264957531439744,98.25
17,0.3,0.795,0.205,0.05208283890108621,98.25
17,0.4,0.8114285714285714,0.18857142857142856,0.07420869742801307,98.25
17,0.5,0.8457142857142858,0.1542857142857143,0.07654927044391033,98.25
