seed,particle,death_step,x,y,death_type,distance_to_nearest_curvature
0,41,52,70.42312518683417,79.4896340662257,wall_failure,29.363356826984244
0,32,118,126.96577005793525,81.35111286460119,wall_failure,48.15346895118613
0,50,118,127.9949599340969,82.5206515140197,wall_failure,46.686455556277636
0,62,118,128.95395553261372,83.53001925945476,wall_failure,45.40016307406419
0,0,141,143.15949211286915,100.55108964527057,wall_failure,25.515377863665783
0,15,195,186.21160002613735,100.43418206498491,wall_failure,48.49749502191493
0,47,203,192.0915799320375,92.67877494207336,wall_failure,40.775911267199646
0,8,234,182.09584552071493,104.56278754139183,wall_failure,42.844554296809434
0,1,240,103.84022885999234,76.65229243677781,progress_failure,29.46320715974738
0,38,240,93.784270076941,68.63283356136276,progress_failure,17.067021380990454
0,45,240,111.14305378058864,72.92252649873835,progress_failure,32.27260866540239
0,25,279,246.23203692617864,79.54318587118388,wall_failure,48.502940256561835
0,5,283,242.87431791704623,76.50293306309267,wall_failure,44.055033243927056
0,33,283,247.3969126938247,81.49276169465026,wall_failure,47.86191538455206
0,59,324,262.36476573798217,99.34442883586955,wall_failure,26.785517237898084
0,22,325,267.09474127784256,105.18843955716535,wall_failure,20.916715542523814
1,28,114,122.42810916687105,75.26929586944695,wall_failure,43.04934729574062
1,49,115,125.04150991061707,78.63009437109118,wall_failure,47.01025488817203
1,29,116,127.38828023322336,81.00490866969807,wall_failure,48.319053353368616
1,50,116,125.96005643620106,79.55266589864408,wall_failure,48.27696094188722
1,54,116,125.87412685429642,79.66343878953721,wall_failure,48.26288777731228
1,15,117,127.10457545491856,81.43251854404186,wall_failure,48.02610355812635
1,43,117,123.03249218697921,76.68334521079015,wall_failure,44.283231723808406
1,37,118,127.32164301547539,81.3229072185569,wall_failure,48.047548585479
1,66,118,127.34943843154261,81.38756499997966,wall_failure,47.977199588064174
1,6,119,127.28845196677914,81.3151215364654,wall_failure,48.067008405287176
1,27,119,128.0053612156731,82.51505122126756,wall_failure,46.687884056773576
1,55,133,137.08909473606133,93.46974752458267,wall_failure,33.478347453382575
1,38,136,138.81361384796844,95.53939128431435,wall_failure,31.08247186039348
1,19,138,140.91580390900535,97.61678968595737,wall_failure,28.675552051196362
1,16,194,187.41645252266363,98.72035538136032,wall_failure,48.05300539324159
1,63,202,187.03777848016168,98.90586022068231,wall_failure,48.365046098263996
1,60,220,203.1730641246486,79.36261023441233,wall_failure,25.42832461243491
1,36,240,122.07979236911677,98.82174776594331,progress_failure,35.55268361658238
1,9,274,239.4253003561136,71.52115137551802,wall_failure,38.62760735707627
1,14,289,250.24421086117414,84.53984447018799,wall_failure,44.00770170851567
1,64,331,267.46715970933917,105.11516617307542,wall_failure,21.03005375669876
1,53,355,261.9953809019572,99.2390711244655,wall_failure,26.92907444019827
2,31,40,58.92396324068216,85.33382900613944,wall_failure,40.7647952682125
2,8,105,118.37997624994613,70.5003773207784,wall_failure,37.235537678070735
2,64,107,119.1242458010649,71.65488816262486,wall_failure,38.42081763219371
2,15,109,122.27154969484882,75.38229943537951,wall_failure,42.96942105497601
2,54,109,123.80162964484644,77.75303898932523,wall_failure,45.49476150420212
2,21,111,123.08694128920125,76.68329004595856,wall_failure,44.32997568323431
2,3,192,184.3962241007423,102.49536294611036,wall_failure,45.87516143220632
2,13,202,192.3890192708901,93.38115725120016,wall_failure,41.351086822400895
2,27,202,193.15864006497532,91.2825164442846,wall_failure,39.117819948575345
2,37,202,192.23548108738217,92.61700254303375,wall_failure,40.6719292446185
2,4,207,197.12274637517586,86.92850704663405,wall_failure,33.85760920369354
2,38,274,252.17599364123097,87.39003024831166,wall_failure,40.68396371195949
2,34,296,245.38606890859725,78.53317933603364,wall_failure,47.25369245068531
2,40,298,247.22561069028853,81.47169636408432,wall_failure,47.94474674065436
3,20,115,122.12656215324364,75.40483046336331,wall_failure,42.85496919242842
3,5,116,122.45944014612682,75.40552739630786,wall_failure,43.14401765222317
3,18,117,126.29692432299845,79.58367046754579,wall_failure,48.579421086828894
3,22,117,125.16848116343962,78.66989289162831,wall_failure,47.13926701023274
3,32,117,127.49490424312812,80.9841032609328,wall_failure,48.29968257328007
3,51,117,126.28851226346698,79.56359346179086,wall_failure,48.56169844239573
3,9,118,127.07798836410676,81.21908450684502,wall_failure,48.234105086361666
3,59,118,127.21954093399015,81.14501283531021,wall_failure,48.25053987410439
3,38,127,133.0328730558772,88.6507446225025,wall_failure,39.2196252474482
3,66,133,137.3576456353102,93.41145176945642,wall_failure,33.47266132248761
3,41,134,138.23443757145208,94.68273840950583,wall_failure,32.039720793134585
3,40,141,143.0476661535039,100.58660486679243,wall_failure,25.488276906152613
3,0,143,144.20833087154287,101.64161476605994,wall_failure,24.371246812873178
3,57,143,142.97644169930996,100.70894516590666,wall_failure,25.371878976879263
3,44,190,177.13605793654133,110.54774302052222,wall_failure,35.65807714194024
3,61,199,187.44142728951078,98.83748599404677,wall_failure,48.15291918353317
3,8,223,203.18727856388932,79.45102647460995,wall_failure,25.51549936051089
3,11,246,200.3715223193824,83.45397730154245,wall_failure,29.815425278197075
3,58,273,240.2865967291475,72.51414070999174,wall_failure,39.848680215972735
3,21,278,246.1128323516089,79.62402172944392,wall_failure,48.44435440340301
3,23,318,262.36463385403556,99.42544503552054,wall_failure,26.7049082807531
4,16,40,58.869729070203476,85.36774184502141,wall_failure,40.82555924075599
4,15,105,120.45522326625922,72.5342356571881,wall_failure,40.007383671723304
4,49,106,121.41753872888354,73.50643971227873,wall_failure,41.31268954351069
4,28,107,122.29200008657007,75.325643900281,wall_failure,42.95900788214661
4,60,107,120.39661228773916,72.55984390941335,wall_failure,39.96733625587668
4,52,109,123.01372163740407,76.56523503250574,wall_failure,44.2067061066335
4,6,117,128.23045394406154,82.57912122398862,wall_failure,46.54664744751567
4,51,132,137.4940838777809,93.48575160672421,wall_failure,33.36937406385421
4,1,150,143.08576901983687,100.55510405859263,wall_failure,25.516798578866933
4,42,194,190.02475528848757,95.4892166953575,wall_failure,44.10910400545461
4,7,200,193.10766459821755,91.36340340171208,wall_failure,39.21035010131327
4,58,200,192.19785738592054,93.05618717374662,wall_failure,41.10085901854071
4,69,201,187.05492543679816,98.69445952458403,wall_failure,48.16243778374963
4,9,202,195.78827104356202,88.19577066114263,wall_failure,35.41478055101204
4,21,273,252.06794182741922,87.41358529453399,wall_failure,40.69581708727836
