seed,deflection,zone,n_entered,entry_mean_step,entry_std_step,local_temporal_jitter,success_rate,failure_rate
0,0.1,A_entry,70,0.0,0.0,0.0,0.3,0.7
0,0.1,B_transition,70,97.02857142857142,1.7806213086723295,0.01835151525408988,0.3,0.7
0,0.1,C_downstream,35,268.74285714285713,10.784493781464615,0.04012941551667627,0.3,0.7
1,0.1,A_entry,70,0.0,0.0,0.0,0.32857142857142857,0.6714285714285714
1,0.1,B_transition,70,97.01428571428572,1.930898067464664,0.019903234386855137,0.32857142857142857,0.6714285714285714
1,0.1,C_downstream,41,268.0975609756098,11.55644657608013,0.043105377512510736,0.32857142857142857,0.6714285714285714
2,0.1,A_entry,70,0.0,0.0,0.0,0.3142857142857143,0.6857142857142857
2,0.1,B_transition,70,96.58571428571429,2.2834363649230656,0.023641553844543656,0.3142857142857143,0.6857142857142857
2,0.1,C_downstream,31,270.83870967741933,11.79966312858002,0.04356712208011316,0.3142857142857143,0.6857142857142857
3,0.1,A_entry,70,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143
3,0.1,B_transition,70,97.12857142857143,1.7882268038592917,0.0184109245872719,0.2857142857142857,0.7142857142857143
3,0.1,C_downstream,32,270.5,12.010412149464313,0.0444007842862104,0.2857142857142857,0.7142857142857143
4,0.1,A_entry,70,0.0,0.0,0.0,0.3142857142857143,0.6857142857142857
4,0.1,B_transition,70,97.14285714285714,2.1399980926941717,0.022029392130448525,0.3142857142857143,0.6857142857142857
4,0.1,C_downstream,30,273.3333333333333,14.360439485692012,0.05253819324014442,0.3142857142857143,0.6857142857142857
5,0.1,A_entry,70,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143
5,0.1,B_transition,70,97.31428571428572,1.793184375372938,0.0184267331583699,0.2857142857142857,0.7142857142857143
5,0.1,C_downstream,35,274.2,11.942241952713186,0.04355303410893375,0.2857142857142857,0.7142857142857143
6,0.1,A_entry,70,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714
