deflection,zone,n_samples,y_mean,y_std,y_var
0.1,A_entry,135250,79.1255220428403,8.688705908843195,75.49361037036664
0.1,B_transition,184806,89.6985078313867,14.777770781116736,218.38250925922756
0.1,C_downstream,95823,99.39729096016039,12.349901252816574,152.52006095432037
0.3,A_entry,136612,78.97517007913201,8.814248235275938,77.690971953065
0.3,B_transition,229492,89.39329084910086,14.958502140166535,223.75678627736684
0.3,C_downstream,134348,100.02623212514307,11.835876723615705,140.08797781662804
0.5,A_entry,139678,78.5833097256688,9.217490613050764,84.96213320167895
0.5,B_transition,255955,89.93001806376577,14.568222665114632,212.2331116203597
0.5,C_downstream,151346,99.91883737358933,11.56764321611614,133.81036957535778
