seed,deflection,zone,n_entered,entry_mean_step,entry_std_step,local_temporal_jitter,success_rate,death_rate
0,0.1,A_entry,70,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855
0,0.1,B_transition,68,96.52941176470588,1.6668973312123239,0.01726828435729186,0.5714285714285714,0.42857142857142855
0,0.1,C_downstream,46,268.5652173913044,7.418109960598024,0.02762126098318265,0.5714285714285714,0.42857142857142855
1,0.1,A_entry,70,0.0,0.0,0.0,0.6,0.4
1,0.1,B_transition,70,96.85714285714286,1.8070158058105024,0.01865650536953233,0.6,0.4
1,0.1,C_downstream,48,268.4791666666667,9.933087769615694,0.03699761099866357,0.6,0.4
2,0.1,A_entry,70,0.0,0.0,0.0,0.5285714285714286,0.4714285714285714
2,0.1,B_transition,68,95.83823529411765,1.6943703855592516,0.01767948231039234,0.5285714285714286,0.4714285714285714
2,0.1,C_downstream,44,266.1363636363636,5.778450992071195,0.021712369227171416,0.5285714285714286,0.4714285714285714
3,0.1,A_entry,70,0.0,0.0,0.0,0.6,0.4
3,0.1,B_transition,70,97.22857142857143,1.837478307521546,0.018898542686627287,0.6,0.4
3,0.1,C_downstream,44,265.75,6.113044919008708,0.023002991228544517,0.6,0.4
4,0.1,A_entry,70,0.0,0.0,0.0,0.5142857142857142,0.4857142857142857
4,0.1,B_transition,69,96.71014492753623,1.677657522143511,0.017347275442335577,0.5142857142857142,0.4857142857142857
4,0.1,C_downstream,43,275.04651162790697,12.514091570356204,0.045498092290805814,0.5142857142857142,0.4857142857142857
5,0.1,A_entry,70,0.0,0.0,0.0,0.45714285714285713,0.5428571428571428
5,0.1,B_transition,70,96.97142857142858,1.60331289675408,0.01653386899994523,0.45714285714285713,0.5428571428571428
5,0.1,C_downstream,40,266.525,7.348426702362895,0.027571247358916893,0.45714285714285713,0.5428571428571428
6,0.1,A_entry,70,0.0,0.0,0.0,0.5857142857142857,0.4142857142857143
